player_id,player,team,pos,gp,min,pts,reb,ast,stl,blk,fgm,fga,fg3m,ftm,tov,fpts
1630592,Jalen Wilson,BKN,Forward,79,25.7,9.5,3.4,1.8,0.5,0.1,3.1,7.8,1.5,1.7,1.0,23.84
1631213,Tyrese Martin,BKN,Forward,60,21.9,8.7,3.7,2.0,0.6,0.2,3.2,7.8,1.7,0.8,1.2,23.82
1641774,Tristan Vukcevic,WAS,Forward,35,14.6,9.4,3.7,1.1,0.3,0.7,3.4,6.9,1.1,1.5,1.2,23.73
1630639,A.J. Lawson,TOR,Guard,26,18.7,9.1,3.3,1.2,0.5,0.2,3.1,7.3,1.3,1.7,0.6,23.57
1629643,Chuma Okeke,CLE,Forward,9,21.9,5.9,5.2,1.7,0.6,0.4,2.2,4.4,1.2,0.2,0.3,23.55
1628998,Cody Martin,PHX,Forward,53,22.1,6.8,4.2,2.0,1.1,0.6,2.6,6.1,0.8,0.8,1.0,23.48
1629011,Mitchell Robinson,NYK,Center-Forward,17,17.1,5.1,5.9,0.8,0.9,1.1,2.2,3.3,0.0,0.8,0.6,23.47
1630215,Jared Butler,PHI,Guard,60,17.4,9.0,1.8,3.7,0.7,0.2,3.4,7.6,1.0,1.3,1.3,23.31
1641824,Matas Buzelis,CHI,Forward,80,18.9,8.6,3.5,1.0,0.4,0.9,3.2,6.9,1.2,1.1,0.9,23.31
1628436,Luke Kornet,BOS,Center-Forward,73,18.6,6.0,5.3,1.6,0.5,1.0,2.6,3.8,0.0,0.9,0.4,23.3
1628971,Bruce Brown,NOP,Guard-Forward,41,22.5,8.3,4.0,2.0,0.8,0.2,3.2,7.5,0.7,1.3,1.0,23.2
1627732,Ben Simmons,LAC,Guard-Forward,51,22.0,5.0,4.7,5.6,0.7,0.5,2.3,4.4,0.0,0.5,2.0,23.12
1642367,Jonathan Mogbo,TOR,Forward,63,20.4,6.2,4.9,2.3,0.9,0.5,2.5,5.7,0.3,1.0,1.1,23.11
1630573,Sam Hauser,BOS,Forward,71,21.7,8.5,3.2,0.9,0.6,0.2,3.0,6.7,2.3,0.2,0.3,23.06
1630173,Precious Achiuwa,NYK,Forward,57,20.5,6.6,5.6,1.0,0.8,0.7,2.9,5.7,0.2,0.7,0.8,23.05
1630200,Tre Jones,CHI,Guard,46,19.7,7.2,2.5,4.2,0.8,0.2,2.8,5.2,0.4,1.2,0.8,22.97
1642266,Ja'Kobe Walter,TOR,Guard,52,21.2,8.6,3.1,1.6,0.8,0.2,3.1,7.6,1.3,1.3,1.0,22.77
1641715,Cam Whitmore,HOU,Forward,51,16.2,9.4,3.0,1.0,0.6,0.3,3.5,7.9,1.3,1.1,0.9,22.66
1631222,Jake LaRavia,SAC,Forward,66,20.4,6.9,3.9,2.4,0.9,0.3,2.4,5.1,0.9,1.2,1.3,22.61
1630249,Vít Krejčí,ATL,Guard,57,20.2,7.2,2.7,2.6,0.6,0.5,2.5,5.1,1.6,0.6,0.9,22.51
1629637,Jaxson Hayes,LAL,Center-Forward,56,19.5,6.8,4.8,1.0,0.6,0.9,2.9,4.0,0.0,1.1,0.8,22.27
1629052,Oshae Brissett,PHI,Forward-Guard,6,23.7,8.7,3.7,0.7,0.7,0.5,3.2,6.5,1.0,1.3,1.3,22.15
1629599,Amir Coffey,LAC,Guard-Forward,72,24.3,9.7,2.2,1.1,0.6,0.1,3.3,7.1,1.4,1.6,0.6,22.13
1630548,Johnny Juzang,UTA,Guard,64,19.8,8.9,2.9,1.1,0.6,0.1,3.2,7.4,1.8,0.7,0.6,22.12
1642366,Quinten Post,GSW,Center,42,16.3,8.1,3.5,1.3,0.4,0.4,2.9,6.5,1.7,0.5,0.8,22.0
1642354,KJ Simpson,CHA,Guard,36,23.4,7.8,3.0,3.1,0.9,0.2,2.9,8.4,0.9,1.1,1.6,21.97
